2020-04-24 11:08:55 | Ziggy | O
2020-04-24 11:08:58 | Ryan | OWO
2020-04-24 11:08:58 | [>] owo | What's This?
2020-04-24 11:09:02 | Ziggy | OWO
2020-04-24 11:09:03 | [>] owo | What's This?
2020-04-24 11:09:05 | Ziggy | ovo
2020-04-24 11:09:08 | Ryan | UWO
2020-04-24 11:09:30 | Ryan | https://img.melonis.xyz/6dHZH2.png h,mm yes
2020-04-24 11:09:40 | Ryan | poor ziggy wont understand
2020-04-24 11:11:36 | Ziggy | innit
